BPLR_Name,BlurType,Laplacian Variance, FFT_Mean, FFT_Freq, ImageFileNumber, Imagetype
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3334.13244172],71.81398208646453,3.163900414937759,143,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3324.50425631],71.83484274220304,3.163900414937759,144,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3320.33110978],71.83521801855947,3.163900414937759,145,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3318.21017759],71.84285989650277,3.163900414937759,146,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3318.38109926],71.81799347194391,3.163900414937759,147,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3311.14044031],71.84120672918952,3.163900414937759,148,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3305.95489486],71.84128638096553,3.163900414937759,149,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3329.30977641],72.05105433162456,2.873443983402489,15,Tester_Image
L2_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3320.09999656],71.84292684304823,3.329875518672199,150,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3480.02230109],71.98040772373746,3.558091286307054,151,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3477.81110776],71.99619406289997,3.558091286307054,152,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3473.34289398],72.00448322888515,3.641078838174274,153,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3481.46462576],72.01512562449341,3.578838174273859,154,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3460.99150454],72.01600298157392,3.641078838174274,155,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3464.6379841],72.02323196057402,3.558091286307054,156,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3471.26860701],72.01920845023577,3.558091286307054,157,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3457.2967403],72.02104549208785,3.558091286307054,158,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3466.60629277],72.02102558861795,3.641078838174274,159,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3331.87758969],72.05861341161919,2.873443983402489,16,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3465.53120272],72.0208641468153,3.578838174273859,160,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3459.28363298],72.02009897196369,3.558091286307054,161,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3463.61840876],72.01553422542645,3.558091286307054,162,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3456.58466967],72.01123723320252,3.641078838174274,163,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3459.96238358],72.01826708608925,3.558091286307054,164,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3471.04304747],72.01243827505428,3.641078838174274,165,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3456.67602885],72.02143256178294,3.558091286307054,166,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3455.75474913],72.02530057522888,3.495850622406639,167,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3468.66672706],72.02487927170596,3.495850622406639,168,Tester_Image
L3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3458.86326229],72.01790008005874,3.578838174273859,169,Tester_Image
R3_NON_BLUR_LENS_Tester_Image,Not-Blurry,[3329.93356406],72.06064060515534,2.873443983402489,17,Tester_Image
